week,AC,AL,AP,AM,BA,CE,DF,ES,GO,MA,MT,MS,MG,PA,PB,PR,PE,PI,RJ,RN,RS,RO,RR,SC,SP,SE,TO
1,8,68,9,60,236,193,132,79,90,127,72,38,342,102,164,187,217,36,947,105,186,15,8,120,1493,64,8
2,11,67,12,75,227,163,127,71,71,137,85,36,265,107,218,153,188,23,920,107,199,17,4,115,1373,56,17
3,7,82,11,56,187,163,121,63,68,100,75,43,226,122,208,130,197,39,824,76,169,14,7,98,1214,42,8
4,5,74,9,64,197,153,130,70,77,103,63,28,248,113,217,123,208,37,766,85,184,21,3,92,1096,54,8
5,8,59,5,65,208,124,90,64,56,85,49,21,230,70,202,109,183,32,762,101,145,10,6,89,1065,40,7
6,7,36,11,51,171,103,70,42,49,62,48,23,182,68,144,99,143,33,591,86,95,17,5,79,773,31,2
7,2,39,13,19,131,86,69,34,46,63,66,16,149,47,141,89,123,16,501,84,90,10,6,60,756,38,3
8,5,33,9,31,113,80,71,35,47,49,38,25,150,44,161,87,131,24,411,82,71,3,5,68,654,30,4
9,2,38,5,22,142,82,55,37,39,43,32,22,153,25,116,83,101,22,455,80,98,9,4,64,653,47,1
10,0,35,6,21,121,47,66,38,51,47,29,31,138,37,69,60,132,20,301,84,96,10,6,63,535,38,2
11,4,35,5,30,110,51,53,39,47,26,43,25,154,28,84,71,83,12,291,75,70,5,5,55,556,24,3
12,2,26,6,11,120,52,63,22,39,35,30,22,136,23,77,63,93,13,281,58,79,5,0,73,476,31,5
13,1,27,2,12,76,55,46,29,37,19,37,32,117,43,83,51,81,21,217,51,92,4,2,63,491,20,6
14,4,16,5,7,100,38,39,27,30,26,29,14,93,9,68,52,68,17,207,51,51,2,1,41,377,11,2
15,0,19,0,10,90,30,49,14,27,14,29,12,102,13,78,46,54,25,192,53,67,0,0,49,376,13,8
16,0,7,2,12,74,23,38,14,29,19,40,12,74,11,81,40,43,13,157,47,48,3,0,24,341,12,12
17,2,10,1,117,55,27,31,18,23,14,31,11,84,14,67,31,21,14,117,59,47,2,0,24,257,13,2
18,2,9,1,2,46,25,25,13,29,10,27,14,74,3,63,23,31,8,107,32,36,0,2,27,207,7,8
19,0,8,0,1,24,26,6,10,13,5,17,7,45,6,26,6,14,6,70,14,14,0,0,19,156,8,1
20,1,5,0,3,28,14,21,7,13,2,16,2,52,7,31,23,21,4,72,18,33,2,1,18,124,4,2
21,0,3,0,1,14,6,8,9,6,2,4,4,27,1,25,7,10,1,55,9,13,1,1,7,107,1,1
22,0,1,0,3,12,1,11,1,6,3,2,0,13,1,25,7,6,1,41,10,19,0,0,10,84,0,0
23,0,0,0,4,8,4,5,2,4,1,6,0,7,1,18,6,10,0,47,14,9,0,0,2,69,0,0
24,0,2,0,4,17,4,4,0,5,1,1,3,12,3,17,2,5,2,24,8,10,0,0,5,53,0,0
25,0,2,1,3,7,3,4,6,3,1,3,1,10,2,19,9,6,3,25,9,10,0,1,5,61,0,0
26,0,1,0,0,9,4,6,2,3,1,4,1,17,4,19,5,3,1,37,15,8,0,1,2,55,1,0
27,0,2,3,2,5,4,3,1,5,1,2,0,19,1,13,4,3,0,15,10,11,0,0,3,52,1,0
28,0,2,2,1,6,1,2,0,3,1,3,0,4,1,8,7,1,0,17,11,14,1,0,3,57,0,0
29,0,1,2,4,4,4,4,1,7,1,6,2,5,0,17,2,6,0,26,9,9,0,0,3,51,0,0
30,0,1,1,1,4,2,2,1,0,1,3,1,14,3,19,6,3,2,17,10,7,0,0,9,45,0,1
31,0,3,0,1,6,7,2,3,2,3,6,1,5,0,22,7,3,0,30,11,11,1,0,8,45,0,0
32,0,2,0,1,13,5,4,2,4,3,6,1,3,0,24,8,6,1,32,13,16,1,0,1,90,1,1
33,0,3,3,3,7,10,5,6,5,3,7,2,13,0,25,13,8,3,55,18,17,1,0,9,77,1,1
34,0,5,1,1,12,8,8,5,8,1,4,2,11,1,27,10,11,1,43,13,13,0,0,7,67,0,0
35,0,10,1,7,9,2,12,4,5,1,3,9,11,5,21,6,9,0,43,13,15,0,0,9,56,1,0
36,0,2,1,3,13,5,7,2,6,1,8,2,12,0,17,2,8,0,49,11,6,0,0,7,69,1,0
37,0,0,0,2,0,0,0,0,1,0,0,0,2,0,1,0,0,0,1,0,1,0,0,0,3,0,0
